Workstream,Feature,Status,Start Date,End Date,Dependencies,Research Required,Research Start Date,Research End Date,Resources,Client Commitment,Risk,Contingency,Confluence Link
Data Import,Data and Document Hub,Done,9/30/2025,11/30/2025,,No,,,Data Import Team,State Street,Low,None required,https://moodysanalytics.atlassian.net/wiki/spaces/GRIF/pages/1431113401/Data+Import+Service+Roadmap
Data Import,Data folders,Done,9/30/2025,11/30/2025,,No,,,Data Import Team,State Street,Low,None required,https://moodysanalytics.atlassian.net/wiki/spaces/GRIF/pages/1431113401/Data+Import+Service+Roadmap
Data Import,Data Pipelines,Done,9/30/2025,12/15/2025,,No,,,Data Import Team,State Street,Low,None required,https://moodysanalytics.atlassian.net/wiki/spaces/GRIF/pages/1431113401/Data+Import+Service+Roadmap
Data Import,Data Extraction,In Progress,12/15/2025,1/31/2026,Data Pipelines,Yes,,,Data Import Team,State Street,Low,None required,https://moodysanalytics.atlassian.net/wiki/spaces/GRIF/pages/1431113401/Data+Import+Service+Roadmap
Data Import,MM specific Transformation,In Progress,1/15/2026,2/28/2026,Data Extraction,No,,,Data Import Team,State Street,Low,None required,https://moodysanalytics.atlassian.net/wiki/spaces/GRIF/pages/1431113401/Data+Import+Service+Roadmap
Data Import,Schema Mapping,To do,2/15/2026,3/31/2026,Data Extraction,Yes,1/15/2026,2/15/2026,Data Import Team,State Street,Low,None required,https://moodysanalytics.atlassian.net/wiki/spaces/GRIF/pages/1431113401/Data+Import+Service+Roadmap
Data Import,Validation,Done,9/30/2025,12/15/2025,,No,,,Data Import Team,No,Low,None required,
Data Import,Generic Transformation,To do,4/1/2026,5/30/2026,"Data Extraction, Schema mapping",No,,,Data Import Team,None,Low,None required,https://moodysanalytics.atlassian.net/wiki/spaces/GRIF/pages/1431113401/Data+Import+Service+Roadmap
Data Import,Modular UI,In Progress,1/1/2026,3/31/2026,,No,,,Frontend Team,No,Low,None required,https://moodysanalytics.atlassian.net/wiki/spaces/GRIF/pages/1445638236/Micro-Frontend+Architecture+Executive+Summary
Manager Module,Custom MM DI,To do,3/31/2026,4/30/2026,None,Yes,1/21/2026,2/15/2026,"Data Import Team, MM Team",State Street,Medium,Use existing  MM DI,
Data Import,MM Integration,To do,3/31/2026,5/30/2026,"Modular UI, Schema Mapping",Yes,2/15/2026,3/15/2026,"Data Import Team, MM Team",State Street,Medium,Use existing MM DI,
Data Import,Unstructured Data extraction,To do,5/30/2026,7/30/2026,Data Extraction,Yes,,,Data Import Team,No,Medium,,
Data Import,Prompt management,To do,5/30/2026,7/30/2026,Unstructured Data extraction,Yes,,,Data Import Team,No,Medium,None required,
